total_SBA,540,7a,ESTAB,GEO_ID,mean_agi,ZIPCODE,SBA_per_Small,540_per_Small,7a_per_Small,tot_ratio_buckets,tot_ratio_buckets_rank,_540_ratio_buckets,_540_ratio_buckets_rank,_7a_ratio_buckets,_7a_ratio_buckets_rank,mean_agi_buckets,mean_agi_buckets_rank
2,1.0,1.0,1381.0,8610000US90248,47819.0,90248,0.00144822592324,0.000724112961622,0.000724112961622,"[0.000244, 0.00178]",1.0,"[0.000264, 0.00659]",1.0,"[0.000244, 0.0019]",1.0,"(43085, 49963]",4.0
1,,1.0,1215.0,8610000US90250,34061.0,90250,0.00082304526749,,0.00082304526749,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(31958.75, 36760]",2.0
1,,1.0,699.0,8610000US90275,102349.0,90275,0.00143061516452,,0.00143061516452,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(72552, 113143.25]",7.0
1,,1.0,291.0,8610000US90302,31030.0,90302,0.00343642611684,,0.00343642611684,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"[18558, 31958.75]",1.0
1,,1.0,288.0,8610000US90304,23030.0,90304,0.00347222222222,,0.00347222222222,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"[18558, 31958.75]",1.0
2,,2.0,1430.0,8610000US90403,105228.0,90403,0.0013986013986,,0.0013986013986,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(72552, 113143.25]",7.0
1,,1.0,1749.0,8610000US90404,81127.0,90404,0.000571755288736,,0.000571755288736,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(72552, 113143.25]",7.0
1,,1.0,2.0,8610000US90407,,90407,0.5,,0.5,"(0.333, 5]",8.0,,,"(0.3, 4]",8.0,,
1,,1.0,4.0,8610000US90410,,90410,0.25,,0.25,"(0.201, 0.25]",6.0,,,"(0.222, 0.3]",7.0,,
1,,1.0,,,,90414,,,,,,,,,,,
1,1.0,,,,,90486,,,,,,,,,,,
1,,1.0,658.0,8610000US90502,41500.0,90502,0.00151975683891,,0.00151975683891,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(36760, 43085]",3.0
1,1.0,,2019.0,8610000US90503,58262.0,90503,0.000495294700347,0.000495294700347,,"[0.000244, 0.00178]",1.0,"[0.000264, 0.00659]",1.0,,,"(49963, 58591]",5.0
1,,1.0,,,,90514,,,,,,,,,,,
1,,1.0,859.0,8610000US90621,34968.0,90621,0.0011641443539,,0.0011641443539,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(31958.75, 36760]",2.0
1,,1.0,1055.0,8610000US90650,31398.0,90650,0.000947867298578,,0.000947867298578,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"[18558, 31958.75]",1.0
1,,1.0,649.0,8610000US90701,32915.0,90701,0.00154083204931,,0.00154083204931,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(31958.75, 36760]",2.0
1,1.0,,1129.0,8610000US90720,71913.0,90720,0.00088573959256,0.00088573959256,,"[0.000244, 0.00178]",1.0,"[0.000264, 0.00659]",1.0,,,"(58591, 72552]",6.0
1,,1.0,841.0,8610000US90806,30342.0,90806,0.00118906064209,,0.00118906064209,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"[18558, 31958.75]",1.0
1,1.0,,766.0,8610000US90813,22446.0,90813,0.00130548302872,0.00130548302872,,"[0.000244, 0.00178]",1.0,"[0.000264, 0.00659]",1.0,,,"[18558, 31958.75]",1.0
1,,1.0,525.0,8610000US91001,65395.0,91001,0.00190476190476,,0.00190476190476,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"(58591, 72552]",6.0
1,,1.0,708.0,8610000US91011,181532.0,91011,0.00141242937853,,0.00141242937853,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(113143.25, 1015625]",8.0
1,,1.0,1172.0,8610000US91016,48224.0,91016,0.000853242320819,,0.000853242320819,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(43085, 49963]",4.0
1,,1.0,875.0,8610000US91304,42649.0,91304,0.00114285714286,,0.00114285714286,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(36760, 43085]",3.0
1,,1.0,2010.0,8610000US91311,60728.0,91311,0.000497512437811,,0.000497512437811,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(58591, 72552]",6.0
1,1.0,,1422.0,8610000US91324,46611.0,91324,0.00070323488045,0.00070323488045,,"[0.000244, 0.00178]",1.0,"[0.000264, 0.00659]",1.0,,,"(43085, 49963]",4.0
1,,1.0,689.0,8610000US91325,48313.0,91325,0.00145137880987,,0.00145137880987,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(43085, 49963]",4.0
2,,2.0,639.0,8610000US91351,39384.0,91351,0.00312989045383,,0.00312989045383,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"(36760, 43085]",3.0
1,,1.0,1963.0,8610000US91364,102479.0,91364,0.000509424350484,,0.000509424350484,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(72552, 113143.25]",7.0
1,,1.0,2310.0,8610000US91367,75462.0,91367,0.0004329004329,,0.0004329004329,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(72552, 113143.25]",7.0
1,,1.0,729.0,8610000US91402,24807.0,91402,0.00137174211248,,0.00137174211248,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"[18558, 31958.75]",1.0
1,,1.0,955.0,8610000US91405,27222.0,91405,0.00104712041885,,0.00104712041885,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"[18558, 31958.75]",1.0
1,,1.0,1598.0,8610000US91406,35818.0,91406,0.000625782227785,,0.000625782227785,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(31958.75, 36760]",2.0
1,,1.0,,,,91424,,,,,,,,,,,
1,,1.0,1182.0,8610000US91502,41012.0,91502,0.000846023688663,,0.000846023688663,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(36760, 43085]",3.0
1,,1.0,,,,91536,,,,,,,,,,,
1,1.0,,,,,91589,,,,,,,,,,,
1,,1.0,793.0,8610000US91602,79565.0,91602,0.00126103404792,,0.00126103404792,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(72552, 113143.25]",7.0
1,,1.0,,,,91621,,,,,,,,,,,
1,1.0,,1805.0,8610000US91733,23790.0,91733,0.000554016620499,0.000554016620499,,"[0.000244, 0.00178]",1.0,"[0.000264, 0.00659]",1.0,,,"[18558, 31958.75]",1.0
1,,1.0,773.0,8610000US91803,34788.0,91803,0.0012936610608,,0.0012936610608,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(31958.75, 36760]",2.0
1,,1.0,1342.0,8610000US91911,30081.0,91911,0.000745156482861,,0.000745156482861,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"[18558, 31958.75]",1.0
2,,2.0,797.0,8610000US91941,55739.0,91941,0.00250941028858,,0.00250941028858,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"(49963, 58591]",5.0
1,,1.0,,,,91947,,,,,,,,,,,
1,,1.0,160.0,8610000US91978,38699.0,91978,0.00625,,0.00625,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"(36760, 43085]",3.0
1,,1.0,4096.0,8610000US92101,75970.0,92101,0.000244140625,,0.000244140625,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(72552, 113143.25]",7.0
1,,1.0,1607.0,8610000US92110,51810.0,92110,0.000622277535781,,0.000622277535781,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(49963, 58591]",5.0
1,,1.0,1792.0,8610000US92123,47484.0,92123,0.000558035714286,,0.000558035714286,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(43085, 49963]",4.0
1,1.0,,300.0,8610000US92124,52360.0,92124,0.00333333333333,0.00333333333333,,"(0.00178, 0.0192]",2.0,"[0.000264, 0.00659]",1.0,,,"(49963, 58591]",5.0
1,,1.0,533.0,8610000US92173,21210.0,92173,0.00187617260788,,0.00187617260788,"(0.00178, 0.0192]",2.0,,,"[0.000244, 0.0019]",1.0,"[18558, 31958.75]",1.0
1,,1.0,1511.0,8610000US92260,51387.0,92260,0.00066181336863,,0.00066181336863,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(49963, 58591]",5.0
1,,1.0,204.0,8610000US92352,,92352,0.00490196078431,,0.00490196078431,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,,
1,,1.0,1212.0,8610000US92373,65120.0,92373,0.000825082508251,,0.000825082508251,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(58591, 72552]",6.0
1,,1.0,11.0,8610000US92423,,92423,0.0909090909091,,0.0909090909091,"(0.0192, 0.111]",3.0,,,"(0.0323, 0.108]",3.0,,
1,,1.0,827.0,8610000US92504,35442.0,92504,0.00120918984281,,0.00120918984281,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(31958.75, 36760]",2.0
2,,2.0,249.0,8610000US92587,45540.0,92587,0.00803212851406,,0.00803212851406,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"(43085, 49963]",4.0
1,1.0,,3789.0,8610000US92660,168162.0,92660,0.000263921879124,0.000263921879124,,"[0.000244, 0.00178]",1.0,"[0.000264, 0.00659]",1.0,,,"(113143.25, 1015625]",8.0
1,,1.0,,,,92667,,,,,,,,,,,
1,,1.0,1189.0,8610000US92675,78764.0,92675,0.000841042893188,,0.000841042893188,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(72552, 113143.25]",7.0
1,1.0,,2988.0,8610000US92705,76556.0,92705,0.000334672021419,0.000334672021419,,"[0.000244, 0.00178]",1.0,"[0.000264, 0.00659]",1.0,,,"(72552, 113143.25]",7.0
1,1.0,,,,,92715,,,,,,,,,,,
1,,1.0,1141.0,8610000US92805,29394.0,92805,0.000876424189308,,0.000876424189308,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"[18558, 31958.75]",1.0
1,,1.0,479.0,8610000US92808,75706.0,92808,0.00208768267223,,0.00208768267223,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"(72552, 113143.25]",7.0
1,1.0,,1073.0,8610000US92843,26548.0,92843,0.000931966449208,0.000931966449208,,"[0.000244, 0.00178]",1.0,"[0.000264, 0.00659]",1.0,,,"[18558, 31958.75]",1.0
1,,1.0,1206.0,8610000US92870,47701.0,92870,0.000829187396352,,0.000829187396352,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(43085, 49963]",4.0
1,,1.0,,,,92924,,,,,,,,,,,
1,,1.0,,,,92928,,,,,,,,,,,
1,,1.0,,,,92945,,,,,,,,,,,
1,1.0,,486.0,8610000US93111,67153.0,93111,0.00205761316872,0.00205761316872,,"(0.00178, 0.0192]",2.0,"[0.000264, 0.00659]",1.0,,,"(58591, 72552]",6.0
1,,1.0,11.0,8610000US93120,,93120,0.0909090909091,,0.0909090909091,"(0.0192, 0.111]",3.0,,,"(0.0323, 0.108]",3.0,,
1,,1.0,,,,93131,,,,,,,,,,,
1,,1.0,765.0,8610000US93420,54984.0,93420,0.00130718954248,,0.00130718954248,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(49963, 58591]",5.0
2,,2.0,819.0,8610000US93422,45845.0,93422,0.002442002442,,0.002442002442,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"(43085, 49963]",4.0
1,1.0,,25.0,8610000US93440,,93440,0.04,0.04,,"(0.0192, 0.111]",3.0,"(0.0391, 0.0535]",6.0,,,,
1,,1.0,860.0,8610000US93455,47317.0,93455,0.00116279069767,,0.00116279069767,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(43085, 49963]",4.0
1,,1.0,12.0,8610000US93531,72355.0,93531,0.0833333333333,,0.0833333333333,"(0.0192, 0.111]",3.0,,,"(0.0323, 0.108]",3.0,"(58591, 72552]",6.0
1,,1.0,867.0,8610000US93551,48195.0,93551,0.00115340253749,,0.00115340253749,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(43085, 49963]",4.0
2,,2.0,706.0,8610000US93611,47019.0,93611,0.0028328611898,,0.0028328611898,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"(43085, 49963]",4.0
1,,1.0,624.0,8610000US93637,35663.0,93637,0.00160256410256,,0.00160256410256,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(31958.75, 36760]",2.0
1,,1.0,385.0,8610000US93638,23031.0,93638,0.0025974025974,,0.0025974025974,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"[18558, 31958.75]",1.0
1,,1.0,1241.0,8610000US93710,33552.0,93710,0.000805801772764,,0.000805801772764,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(31958.75, 36760]",2.0
1,,1.0,1498.0,8610000US93720,57885.0,93720,0.000667556742323,,0.000667556742323,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(49963, 58591]",5.0
